"last_name, first_name","player_id","year","pa","k_percent","bb_percent","xba","xslg","woba","xwoba","xobp","xiso","wobacon","xwobacon","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Lugo, Seth",607625,2025,171,19.9,7,".270",".449",".297",".333",".324",".179",".339",".389",29,7.3,48.4,"79.025917419","95.21302626",20.4,46.1
"Irvin, Jake",663623,2025,173,19.1,6.4,".285",".511",".310",".362",".335",".227",".353",".425",36.7,12.5,45.3,"78.64708127","95.270918095",20.6,46.2
"Freeland, Kyle",607536,2025,161,17.4,3.7,".291",".448",".341",".332",".322",".157",".397",".386",33.3,6.3,42.1,"79.420746452","94.536692683",21.5,53.3
"Brown, Ben",676962,2025,147,23.8,9.5,".265",".422",".344",".340",".350",".158",".407",".401",43.2,7.4,44.2,"82.955216809","94.951215699",30.3,43.8
"Sears, JP",676664,2025,161,19.9,3.7,".233",".413",".274",".294",".271",".180",".318",".345",30.6,6.6,40.5,"77.747302951","93.725003802",18.4,47.9
"López, Pablo",641154,2025,112,23.2,3.6,".237",".382",".251",".280",".264",".145",".309",".349",35.4,6.1,34.1,"77.379535854","94.034598272",23.6,48.5
"Pivetta, Nick",601713,2025,133,29.3,6,".213",".406",".212",".287",".260",".193",".263",".381",33.7,12.8,38.4,"77.486379762","93.761873333",28.2,47.4
"Hicks, Jordan",663855,2025,165,20.6,9.1,".253",".350",".327",".307",".334",".097",".365",".337",29.2,4.4,46,"78.82684","95.093751327",24,43.2
"Rasmussen, Drew",656876,2025,118,25.4,5.9,".257",".359",".248",".294",".307",".102",".296",".364",36.3,6.3,38.8,"81.4324395","94.459730506",22.8,50.7
"Gallen, Zac",668678,2025,166,25.9,10.8,".226",".411",".315",".318",".315",".185",".376",".380",37.5,10.6,41.3,"81.119455577","94.686237596",28.6,41.1
"Holmes, Clay",605280,2025,156,25,8.3,".225",".326",".274",".284",".301",".101",".316",".331",31.4,3.9,40.2,"77.99898549","94.358505446",21,44.2
"Falter, Bailey",663559,2025,151,18.5,7.3,".254",".435",".326",".320",".309",".181",".369",".360",29.7,9,45.9,"80.199936727","94.625055505",19.9,44.8
"Canning, Griffin",656288,2025,132,23.5,10.6,".257",".394",".302",".323",".336",".137",".346",".378",33.3,5.7,46,"81.461237674","94.972534535",27.2,46.5
"Ober, Bailey",641927,2025,166,18.7,4.8,".257",".414",".331",".307",".296",".157",".386",".354",34.1,7.1,40.5,"78.677552903","94.972389032",24.9,52
"Houck, Tanner",656557,2025,159,18.9,7.5,".275",".451",".366",".346",".344",".176",".419",".391",32.5,7,47.4,"80.901460877","95.315394035",23.3,45
"Márquez, Germán",608566,2025,146,12.3,8.2,".294",".463",".432",".359",".363",".169",".468",".374",34.5,6.2,44.2,"79.154760893","94.745084196",17.9,49.1
"Newcomb, Sean",656794,2025,109,27.5,10.1,".251",".366",".372",".314",".334",".115",".482",".386",30.3,7.6,53,"81.54963","95.849122656",20.2,45.4
"Baz, Shane",669358,2025,142,26.1,8.5,".207",".369",".296",".289",".285",".162",".354",".343",26.4,11,42.9,"80.360553913","94.621456044",23.2,46.7
"Sale, Chris",519242,2025,157,29.3,5.7,".235",".390",".355",".299",".294",".155",".480",".390",37.4,10.1,33.3,"76.178432449","93.897136224",31.5,51.1
"Burnes, Corbin",669203,2025,140,20,12.1,".275",".476",".346",".369",".373",".201",".378",".413",37.6,10.8,50.5,"79.194986957","96.057486739",22.2,44.6
"Sasaki, Roki",808963,2025,134,17.9,14.9,".264",".462",".321",".373",".386",".198",".314",".394",34.1,9.1,44.3,"80.3773975","94.420238621",21.5,41.7
"Bubic, Kris",663460,2025,169,23.7,7.7,".249",".398",".261",".311",".316",".148",".299",".372",37.7,8.8,40.4,"75.043690877","93.91623193",27.2,50.8
"Bibee, Tanner",676440,2025,159,17.6,10.1,".249",".471",".356",".348",".334",".221",".390",".378",29.2,10.6,41.6,"77.34614375","94.425255982",20.1,43.6
"Littell, Zack",641793,2025,163,15.3,4.9,".276",".554",".326",".365",".312",".278",".369",".417",33.1,13.8,47.7,"79.999418462","94.903296923",17.7,53.7
"Williams, Trevor",592866,2025,160,18.8,6.9,".269",".394",".363",".313",".320",".124",".424",".358",34.5,5,39.5,"81.052672982","94.414484912",20.2,45.1
"Gray, Sonny",543243,2025,161,24.2,6.2,".284",".477",".318",".352",".337",".194",".389",".440",38.5,10.1,39.4,"78.339118182","94.592520642",26.6,46.8
"Wacha, Michael",608379,2025,160,18.1,8.1,".256",".418",".290",".320",".316",".162",".316",".358",39.3,6.8,33.3,"76.144767895","93.340265614",22.7,49
"Gausman, Kevin",592332,2025,152,24.3,7.9,".227",".454",".248",".314",".285",".227",".289",".385",35.9,13.6,41.7,"79.690396923","94.420563883",25.1,51.4
"Smith, Shane",681343,2025,133,19.5,9,".248",".372",".268",".324",".345",".124",".262",".346",30,5.6,44.4,"77.060319111","94.966101124",28.3,47.4
"Mlodzinski, Carmen",669387,2025,122,18,8.2,".316",".456",".378",".361",".372",".141",".435",".413",34.4,6.7,40,"78.164993556","94.559322667",20.5,44.6
"Sánchez, Cristopher",650911,2025,135,28.9,8.1,".228",".328",".327",".288",".308",".100",".419",".353",25.6,3.7,40.2,"81.367645122","94.32784939",32.7,47.9
"deGrom, Jacob",594798,2025,149,24.2,6,".207",".349",".276",".268",".261",".142",".331",".321",26.2,6.8,33,"75.340150784","93.28230198",30.8,50.8
"Kremer, Dean",665152,2025,165,13.3,5.5,".288",".522",".351",".364",".331",".234",".382",".399",30.1,10.5,41.4,"79.855718507","94.760117519",15.7,48.6
"Cannon, Jonathan",686563,2025,169,18.9,10.1,".239",".403",".335",".321",".325",".164",".367",".347",28,10.2,43.2,"80.351052881","94.673960085",20.7,47.5
"Crochet, Garrett",676979,2025,196,28.6,10.2,".221",".353",".241",".296",".303",".132",".277",".368",35,7.5,34.2,"76.593194576","93.787364017",30.1,49.2
"Bradley, Taj",671737,2025,169,17.8,10.7,".239",".381",".317",".312",".323",".142",".336",".329",29.2,5,35.8,"79.0511095","93.790032583",20.5,46.9
"Kochanowicz, Jack",686799,2025,163,12.3,8.6,".286",".478",".355",".365",".361",".192",".370",".382",24.6,10.3,45.2,"81.005714444","94.816506429",20,50.9
"Wesneski, Hayden",669713,2025,112,23.2,3.6,".267",".476",".306",".333",".301",".209",".381",".418",39.5,9.9,40.7,"79.0119235","94.034980625",25.2,49.1
"Priester, Quinn",682990,2025,108,15.7,14.8,".268",".435",".367",".359",".376",".167",".381",".368",33.3,9.3,37.3,"80.12695027","94.21368027",22.8,43.9
"Anderson, Tyler",542881,2025,137,19.7,10.2,".212",".422",".273",".310",".299",".209",".289",".342",43.2,9.5,30.5,"74.660185957","93.154837872",28.2,49.8
"Paddack, Chris",663978,2025,145,16.6,11,".263",".479",".331",".359",".343",".216",".351",".390",34.3,10.5,43.8,"79.983285882","95.035309604",19.3,48.8
